epoch,accuracy,loss,val_accuracy,val_loss
0,0.8912166953086853,0.3575637638568878,0.9782999753952026,0.0683743804693222
1,0.9690499901771545,0.10617132484912872,0.9850000143051147,0.04657633975148201
2,0.9765333533287048,0.07728550583124161,0.9868999719619751,0.0390714630484581
3,0.9815333485603333,0.06311653554439545,0.9889000058174133,0.033397942781448364
4,0.9833333492279053,0.05469651520252228,0.9904000163078308,0.026957467198371887
5,0.9861833453178406,0.04787566140294075,0.9900000095367432,0.029104700312018394
6,0.9873833060264587,0.04227600246667862,0.9911999702453613,0.027394723147153854
7,0.9882833361625671,0.036668311804533005,0.9918000102043152,0.02452528104186058
8,0.990149974822998,0.0327446274459362,0.991100013256073,0.02541668340563774
9,0.9904666543006897,0.030758388340473175,0.9916999936103821,0.02457868494093418
10,0.9909166693687439,0.02887401357293129,0.9912999868392944,0.02490866743028164
11,0.9920833110809326,0.025365108624100685,0.991100013256073,0.024283068254590034
12,0.9922166466712952,0.02469637617468834,0.9922000169754028,0.02124403975903988
13,0.9931833148002625,0.02112213894724846,0.9925000071525574,0.022605624049901962
14,0.9933666586875916,0.020603930577635765,0.992900013923645,0.02009308710694313
15,0.9937000274658203,0.018378006294369698,0.9930999875068665,0.022378135472536087
16,0.9945666790008545,0.016980599611997604,0.9926000237464905,0.02098320610821247
17,0.9946500062942505,0.01646263711154461,0.9925000071525574,0.02188156172633171
18,0.9954333305358887,0.014259181916713715,0.9922999739646912,0.02429620549082756
19,0.9948833584785461,0.014407561160624027,0.993399977684021,0.02204650267958641
20,0.9947333335876465,0.015500595793128014,0.9929999709129333,0.024629272520542145
21,0.9957000017166138,0.012849214486777782,0.9927999973297119,0.026276271790266037
22,0.9962166547775269,0.011468874290585518,0.992900013923645,0.02589760348200798
23,0.996233344078064,0.01065143570303917,0.9927999973297119,0.02469714730978012
24,0.9964333176612854,0.010242821648716927,0.9929999709129333,0.026175038889050484
25,0.9961833357810974,0.011492808349430561,0.993399977684021,0.025392191484570503
26,0.9963499903678894,0.01057532336562872,0.9919999837875366,0.02940637432038784
27,0.9967166781425476,0.00987391546368599,0.9922999739646912,0.029268236830830574
28,0.9965999722480774,0.00966018345206976,0.9930999875068665,0.030981173738837242
29,0.9970999956130981,0.00790040660649538,0.993399977684021,0.029197933152318
30,0.9967666864395142,0.008962465450167656,0.9922999739646912,0.03168855980038643
31,0.9970166683197021,0.008198726922273636,0.993399977684021,0.026582378894090652
32,0.9972000122070312,0.008216677233576775,0.993399977684021,0.027838382869958878
33,0.9971666932106018,0.008366032503545284,0.9930999875068665,0.028007522225379944
34,0.9968500137329102,0.009121779352426529,0.9932000041007996,0.027747301384806633
35,0.996833324432373,0.00933888740837574,0.9937000274658203,0.02643146738409996
36,0.9978166818618774,0.006704909726977348,0.9937999844551086,0.029929284006357193
37,0.99795001745224,0.006258122157305479,0.9937999844551086,0.03041701577603817
38,0.9980833530426025,0.0056731789372861385,0.9936000108718872,0.028041725978255272
39,0.9972166419029236,0.0073911831714212894,0.9933000206947327,0.030812151730060577
40,0.9976666569709778,0.006889068055897951,0.9939000010490417,0.029311463236808777
41,0.9974333047866821,0.007833151146769524,0.993399977684021,0.03117145411670208
42,0.9976999759674072,0.007033876143395901,0.9940999746322632,0.028904438018798828
43,0.9977499842643738,0.006959156133234501,0.9940000176429749,0.030898258090019226
44,0.9980000257492065,0.005777787882834673,0.9930999875068665,0.03240082785487175
45,0.9980166554450989,0.005682516377419233,0.9936000108718872,0.028643351048231125
46,0.9980999827384949,0.005429754965007305,0.9926999807357788,0.03393841162323952
47,0.9979166388511658,0.00559599045664072,0.9934999942779541,0.033229801803827286
48,0.9980499744415283,0.005578512791544199,0.9944999814033508,0.027992812916636467
49,0.9977999925613403,0.00634141406044364,0.9937999844551086,0.030087390914559364
